LS,Level,Section,Row,Seat,Seat Status Code,Price Level Code,Item Price
S:11:1:1,S,11,1,1,K,18,0
S:10:1:15,S,10,1,15,K,18,0
S:10:1:14,S,10,1,14,K,18,0
S:10:1:13,S,10,1,13,K,18,0
S:10:1:12,S,10,1,12,K,18,0
S:10:1:11,S,10,1,11,K,18,0
S:10:1:10,S,10,1,10,K,18,0
S:10:1:9,S,10,1,9,K,18,0
S:10:1:8,S,10,1,8,K,18,0
S:10:1:7,S,10,1,7,K,18,0
S:10:1:6,S,10,1,6,K,18,0
S:10:1:5,S,10,1,5,K,18,0
S:10:1:4,S,10,1,4,K,18,0
S:10:1:3,S,10,1,3,K,18,0
S:10:1:2,S,10,1,2,K,18,0
S:10:1:1,S,10,1,1,K,18,0
S:8:11:1,S,8,11,1,K,18,0
S:8:11:2,S,8,11,2,K,18,0
S:8:11:3,S,8,11,3,K,18,0
S:8:11:4,S,8,11,4,K,18,0
S:8:11:5,S,8,11,5,K,18,0
S:8:11:6,S,8,11,6,K,18,0
S:8:11:7,S,8,11,7,K,18,0
S:8:11:8,S,8,11,8,K,18,0
S:8:11:9,S,8,11,9,K,18,0
S:8:11:10,S,8,11,10,K,18,0
S:8:11:11,S,8,11,11,K,18,0
S:8:11:12,S,8,11,12,K,18,0
S:8:11:13,S,8,11,13,K,18,0
S:8:11:14,S,8,11,14,K,18,0
S:7:12:3,S,7,12,3,K,18,0
S:7:12:4,S,7,12,4,K,18,0
S:7:12:5,S,7,12,5,K,18,0
S:7:12:6,S,7,12,6,K,18,0
S:7:12:7,S,7,12,7,K,18,0
S:7:12:8,S,7,12,8,K,18,0
S:7:12:9,S,7,12,9,K,18,0
